side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,cum_pnl_pts
short,2023-10-15 13:00:00+00:00,26861.12,2023-10-15 16:00:00+00:00,26932.874285714286,stop,-71.75428571428711,-5478.04657142856
short,2023-10-18 22:00:00+00:00,28343.59,2023-10-19 01:00:00+00:00,28257.84542857143,trail_stop,85.74457142857136,-5392.301999999989
long,2023-10-19 18:00:00+00:00,28646.98,2023-10-19 21:00:00+00:00,28675.529428571426,trail_stop,28.549428571426688,-5363.752571428562
short,2023-10-26 21:00:00+00:00,34113.83,2023-10-27 02:00:00+00:00,34063.18028571428,trail_stop,50.6497142857188,-5313.102857142843
long,2023-10-28 15:00:00+00:00,34192.97,2023-10-29 11:00:00+00:00,34202.55942857143,trail_stop,9.589428571431199,-5303.513428571412
short,2023-10-31 08:00:00+00:00,34400.92,2023-10-31 14:00:00+00:00,34358.59914285714,trail_stop,42.32085714285495,-5261.192571428557
long,2023-11-01 02:00:00+00:00,34450.04,2023-11-01 12:00:00+00:00,34731.181142857145,trail_stop,281.1411428571446,-4980.0514285714125
short,2023-11-03 05:00:00+00:00,34540.72,2023-11-03 08:00:00+00:00,34499.43685714286,trail_stop,41.28314285714441,-4938.768285714268
long,2023-11-04 13:00:00+00:00,34700.36,2023-11-04 21:00:00+00:00,34768.98085714286,trail_stop,68.62085714285786,-4870.14742857141
short,2023-11-06 08:00:00+00:00,34955.34,2023-11-07 09:00:00+00:00,34858.53771428572,trail_stop,96.8022857142787,-4773.345142857132
long,2023-11-08 00:00:00+00:00,35359.82,2023-11-08 18:00:00+00:00,35425.277714285716,trail_stop,65.45771428571607,-4707.8874285714155
short,2023-11-12 09:00:00+00:00,37056.69,2023-11-12 19:00:00+00:00,37053.38771428571,trail_stop,3.302285714293248,-4704.585142857122
long,2023-11-12 22:00:00+00:00,37155.67,2023-11-12 23:00:00+00:00,36956.37714285714,stop,-199.29285714285652,-4903.877999999979
short,2023-11-13 11:00:00+00:00,36810.02,2023-11-13 14:00:00+00:00,36772.58285714286,trail_stop,37.437142857139406,-4866.440857142839
long,2023-11-15 21:00:00+00:00,37621.19,2023-11-16 09:00:00+00:00,37649.49771428572,trail_stop,28.30771428571461,-4838.133142857125
short,2023-11-17 03:00:00+00:00,36484.0,2023-11-17 11:00:00+00:00,36397.287142857145,trail_stop,86.71285714285477,-4751.42028571427
long,2023-11-18 12:00:00+00:00,36449.3,2023-11-18 15:00:00+00:00,36548.73857142857,trail_stop,99.43857142856723,-4651.981714285703
short,2023-11-21 19:00:00+00:00,36979.99,2023-11-21 22:00:00+00:00,36761.24257142857,trail_stop,218.747428571427,-4433.234285714276
long,2023-11-23 02:00:00+00:00,37335.97,2023-11-23 11:00:00+00:00,37431.98857142858,trail_stop,96.01857142857625,-4337.2157142856995
short,2023-11-26 10:00:00+00:00,37697.31,2023-11-26 12:00:00+00:00,37446.48714285714,trail_stop,250.82285714285536,-4086.392857142844
